game_id,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds
2026_03_ATL_GB,200,-245,4.5,-105,-115
2026_03_LAC_BUF,275,-345,7.0,-105,-115
2026_03_CAR_CLE,-148,124,-2.5,-120,100
2026_03_CIN_PIT,-185,154,-3.5,-115,-105
2026_03_NYJ_DET,245,-305,6.5,-105,-115
2026_03_HOU_IND,-135,114,-2.5,-110,-110
2026_03_NE_JAX,130,-155,3.0,-118,-102
2026_03_KC_MIA,-650,470,-10.5,-115,-105
2026_03_TEN_NYG,120,-142,3.0,-120,100
2026_03_SEA_WAS,-345,275,-7.0,-115,-105
2026_03_ARI_SF,340,-440,8.5,-112,-108
2026_03_MIN_TB,-122,102,-1.5,-108,-112
2026_03_BAL_DAL,-180,150,-3.5,-110,-110
2026_03_LV_NO,154,-185,3.0,102,-122
2026_03_LA_DEN,-135,114,-2.5,-112,-108
2026_03_PHI_CHI,-225,185,-4.5,-115,-105
