stat,player,line,over,under
passing_yards,Sam Darnold,228.5,-114,-114
passing_yards,Drake Maye,228.5,-114,-113
passing_yards,Matthew Stafford,263.5,-114,-114
passing_yards,Brock Purdy,244.5,-113,-115
passing_yards,Caleb Williams,226.5,-113,-113
passing_yards,Bryce Young,207.5,-112,-114
passing_yards,Daniel Jones,233.5,-114,-115
passing_yards,Lamar Jackson,219.5,-114,-113
passing_yards,Aaron Rodgers,215.5,-113,-111
passing_yards,Tua Tagovailoa,208.5,-111,-117
passing_yards,Deshaun Watson,172.5,-111,-120
passing_yards,Trevor Lawrence,234.5,-112,-112
passing_yards,Baker Mayfield,230.5,-112,-120
passing_yards,Joe Burrow,264.5,-112,-112
passing_yards,Geno Smith,207.5,-114,-114
passing_yards,Cameron Ward,208.5,-113,-111
passing_yards,Jared Goff,261.5,-114,-115
passing_yards,Tyler Shough,246.5,-115,-114
passing_yards,Josh Allen,220.5,-114,-115
passing_yards,C.J. Stroud,218.5,-115,-114
passing_yards,Jacoby Brissett,223.5,-114,-114
passing_yards,Justin Herbert,236.5,-115,-114
passing_yards,Kyler Murray,223.5,-111,-113
passing_yards,Jordan Love,241.5,-111,-113
passing_yards,Kirk Cousins,215.5,-114,-114
passing_yards,Malik Willis,181.5,-115,-114
passing_yards,Jayden Daniels,201.5,-112,-112
passing_yards,Jalen Hurts,209.5,-111,-113
passing_yards,Dak Prescott,260.5,-115,-114
passing_yards,Jaxson Dart,211.5,-113,-111
passing_yards,Patrick Mahomes,223.5,-113,-113
passing_yards,Bo Nix,227.5,-113,-113
passing_tds,Sam Darnold,1.5,105,-137
passing_tds,Drake Maye,1.5,134,-175
passing_tds,Matthew Stafford,1.5,-146,112
passing_tds,Brock Purdy,1.5,-102,-128
passing_tds,Caleb Williams,1.5,-103,-126
passing_tds,Bryce Young,1.5,118,-154
passing_tds,Daniel Jones,1.5,132,-174
passing_tds,Lamar Jackson,1.5,102,-133
passing_tds,Aaron Rodgers,1.5,117,-152
passing_tds,Tua Tagovailoa,1.5,182,-249
passing_tds,Deshaun Watson,0.5,-165,127
