stat,player,line,over,under
rushing_yards,Caleb Williams,28.5,-111,-113
rushing_yards,Carson Wentz,8.5,-114,-110
passing_tds,Joe Burrow,1.5,-117,-109
passing_tds,C.J. Stroud,1.5,103,-131
passing_yards,Joe Burrow,248.5,-113,-111
passing_yards,C.J. Stroud,218.5,-111,-113
receiving_yards,Ja'Marr Chase,75.5,-114,-110
receiving_yards,Tee Higgins,52.5,-115,-110
receiving_yards,Dalton Schultz,42.5,-111,-113
receiving_yards,Kayshon Boutte,35.5,-115,-109
receiving_yards,Xavier Hutchinson,31.5,-113,-111
receiving_yards,Jaylin Noel,27.5,-110,-114
receiving_yards,Mike Gesicki,24.5,-111,-113
receiving_yards,Chase Brown,19.5,-108,-116
receiving_yards,Andrei Iosivas,13.5,-108,-116
receiving_yards,David Montgomery,12.5,-108,-116
receiving_yards,Woody Marks,10.5,-112,-112
receiving_yards,Samaje Perine,7.5,-106,-119
receptions,Ja'Marr Chase,6.5,-106,-120
receptions,Dalton Schultz,4.5,-131,103
receptions,Tee Higgins,3.5,-166,130
receptions,Chase Brown,3.5,105,-133
receptions,Kayshon Boutte,3.5,134,-172
receptions,Xavier Hutchinson,2.5,-135,106
receptions,Jaylin Noel,2.5,-107,-119
receptions,Mike Gesicki,2.5,-101,-126
receptions,David Montgomery,1.5,-185,144
receptions,Andrei Iosivas,1.5,103,-131
receptions,Woody Marks,1.5,109,-140
receptions,Samaje Perine,1.5,123,-157
rushing_yards,David Montgomery,62.5,-112,-112
rushing_yards,Chase Brown,55.5,-109,-115
rushing_yards,Woody Marks,29.5,-111,-113
rushing_yards,Samaje Perine,17.5,-118,-106
rushing_yards,C.J. Stroud,11.5,-105,-119
rushing_yards,Joe Burrow,9.5,-110,-114
passing_tds,Baker Mayfield,1.5,-121,-106
passing_tds,Deshaun Watson,0.5,-196,152
passing_yards,Baker Mayfield,216.5,-113,-111
passing_yards,Deshaun Watson,175.5,-111,-113
receiving_yards,Emeka Egbuka,54.5,-114,-110
receiving_yards,Chris Godwin,37.5,-112,-112
receiving_yards,Harold Fannin Jr.,34.5,-115,-109
receiving_yards,KC Concepcion,32.5,-112,-112
receiving_yards,Denzel Boston,30.5,-109,-115
receiving_yards,Cade Otton,28.5,-109,-115
receiving_yards,Jerry Jeudy,26.5,-115,-110
receiving_yards,Jalen McMillan,24.5,-109,-115
receiving_yards,Bucky Irving,16.5,-115,-109
receiving_yards,Kenny Gainwell,13.5,-111,-113
receiving_yards,Quinshon Judkins,11.5,-115,-109
receptions,Emeka Egbuka,4.5,119,-152
receptions,Harold Fannin Jr.,4.5,124,-158
receptions,Chris Godwin,3.5,-126,-101
receptions,KC Concepcion,3.5,117,-149
receptions,Cade Otton,2.5,-171,134
receptions,Denzel Boston,2.5,-125,-102
receptions,Jerry Jeudy,2.5,-108,-118
receptions,Bucky Irving,2.5,100,-127
receptions,Jalen McMillan,2.5,133,-171
receptions,Quinshon Judkins,2.5,143,-184
receptions,Kenny Gainwell,1.5,-193,150
rushing_yards,Bucky Irving,65.5,-112,-112
rushing_yards,Quinshon Judkins,50.5,-113,-111
rushing_yards,Kenny Gainwell,26.5,-114,-110
rushing_yards,Deshaun Watson,23.5,-110,-114
rushing_yards,Baker Mayfield,16.5,-113,-111
rushing_yards,Raheim Sanders,8.5,-118,-106
rushing_yards,KC Concepcion,8.5,-106,-119
passing_tds,Jordan Love,1.5,-130,102
passing_tds,Geno Smith,1.5,173,-224
passing_yards,Jordan Love,251.5,-111,-113
passing_yards,Geno Smith,207.5,-113,-111
receiving_yards,Garrett Wilson,68.5,-111,-113
receiving_yards,Christian Watson,59.5,-114,-110
receiving_yards,Matthew Golden,51.5,-112,-112
receiving_yards,Tucker Kraft,42.5,-115,-109
receiving_yards,Jayden Reed,37.5,-111,-113
receiving_yards,Adonai Mitchell,34.5,-111,-113
receiving_yards,Kenyon Sadiq,19.5,-112,-112
receiving_yards,Breece Hall,18.5,-114,-110
receiving_yards,Mason Taylor,17.5,-107,-117
receiving_yards,Jonnu Smith,11.5,-113,-111
receiving_yards,Chris Brooks,9.5,-113,-111
receiving_yards,MarShawn Lloyd,6.5,-118,-106
receptions,Garrett Wilson,5.5,-137,107
receptions,Matthew Golden,4.5,126,-161
receptions,Christian Watson,4.5,128,-163
receptions,Tucker Kraft,3.5,-135,106
receptions,Jayden Reed,3.5,-107,-119
receptions,Breece Hall,2.5,-131,102
receptions,Adonai Mitchell,2.5,-124,-103
receptions,Mason Taylor,2.5,-112,-114
receptions,Kenyon Sadiq,2.5,104,-133
receptions,Chris Brooks,1.5,116,-148
receptions,Jonnu Smith,1.5,120,-153
receptions,MarShawn Lloyd,1.5,150,-193
rushing_yards,Breece Hall,65.5,-114,-110
rushing_yards,MarShawn Lloyd,49.5,-113,-111
rushing_yards,Chris Brooks,24.5,-116,-108
rushing_yards,Braelon Allen,24.5,-107,-117
rushing_yards,Geno Smith,7.5,-117,-107
rushing_yards,Jordan Love,7.5,-117,-107
passing_tds,Drake Maye,1.5,118,-150
passing_tds,Aaron Rodgers,1.5,204,-266
passing_yards,Drake Maye,224.5,-113,-111
passing_yards,Aaron Rodgers,205.5,-112,-112
receiving_yards,DK Metcalf,60.5,-111,-113
receiving_yards,Romeo Doubs,41.5,-110,-114
receiving_yards,Hunter Henry,37.5,-111,-113
receiving_yards,Mack Hollins,36.5,-113,-111
receiving_yards,DeMario Douglas,35.5,-113,-111
receiving_yards,Roman Wilson,34.5,-110,-114
receiving_yards,Pat Freiermuth,31.5,-111,-113
receiving_yards,Jaylen Warren,19.5,-110,-114
receiving_yards,Rhamondre Stevenson,17.5,-112,-112
receiving_yards,Germie Bernard,15.5,-113,-111
receiving_yards,Darnell Washington,14.5,-114,-111
receiving_yards,Rico Dowdle,14.5,-111,-113
receiving_yards,TreVeyon Henderson,8.5,-106,-118
receptions,DK Metcalf,4.5,-106,-120
receptions,Pat Freiermuth,3.5,103,-131
receptions,Romeo Doubs,3.5,104,-133
receptions,Hunter Henry,3.5,114,-145
receptions,DeMario Douglas,3.5,117,-149
receptions,Mack Hollins,3.5,129,-166
receptions,Jaylen Warren,3.5,135,-173
receptions,Roman Wilson,2.5,-159,124
receptions,Rhamondre Stevenson,2.5,-142,111
receptions,Rico Dowdle,2.5,-109,-117
receptions,Darnell Washington,1.5,-159,125
receptions,TreVeyon Henderson,1.5,-104,-122
receptions,Germie Bernard,1.5,-103,-124
rushing_yards,Rhamondre Stevenson,47.5,-115,-109
rushing_yards,Jaylen Warren,43.5,-111,-113
rushing_yards,TreVeyon Henderson,35.5,-111,-113
rushing_yards,Rico Dowdle,33.5,-108,-116
rushing_yards,Drake Maye,27.5,-113,-111
rushing_yards,Aaron Rodgers,0.5,-107,-117
passing_tds,Jalen Hurts,1.5,136,-175
passing_tds,Cam Ward,0.5,-197,153
passing_yards,Jalen Hurts,205.5,-113,-111
passing_yards,Cam Ward,188.5,-113,-111
receiving_yards,DeVonta Smith,59.5,-111,-113
receiving_yards,Carnell Tate,42.5,-113,-111
receiving_yards,Dallas Goedert,38.5,-110,-114
receiving_yards,Wan'Dale Robinson,38.5,-109,-115
receiving_yards,Dontayvion Wicks,30.5,-110,-114
receiving_yards,Makai Lemon,24.5,-109,-115
receiving_yards,Gunnar Helm,22.5,-114,-110
receiving_yards,Calvin Ridley,17.5,-108,-116
receiving_yards,Tyjae Spears,16.5,-107,-117
receiving_yards,Saquon Barkley,10.5,-117,-107
receiving_yards,Tony Pollard,9.5,-111,-113
receptions,DeVonta Smith,4.5,-137,108
receptions,Wan'Dale Robinson,4.5,-102,-125
receptions,Dallas Goedert,3.5,-131,102
receptions,Carnell Tate,3.5,-119,-107
receptions,Gunnar Helm,3.5,132,-169
receptions,Dontayvion Wicks,2.5,-124,-103
receptions,Makai Lemon,2.5,-122,-104
receptions,Tyjae Spears,2.5,-122,-105
receptions,Saquon Barkley,1.5,-175,137
receptions,Calvin Ridley,1.5,-121,-105
receptions,Tony Pollard,1.5,-110,-116
rushing_yards,Saquon Barkley,80.5,-111,-113
rushing_yards,Tony Pollard,39.5,-111,-113
rushing_yards,Jalen Hurts,31.5,-116,-109
rushing_yards,Tyjae Spears,16.5,-112,-112
rushing_yards,Cam Ward,11.5,-114,-110
