game_id,date,team,opp,home,player_id,name,pos,starter,min,fgm,fga,tpm,tpa,ftm,fta,orb,drb,ast,stl,blk,tov,pf,pm,pts,dnp
2024_20231024_LAL_DEN,2023-10-24,DEN,LAL,1,3112335,Nikola Jokic,C,1,36,12,22,3,5,2,4,3,10,11,1,1,2,2,15,29,0
2024_20231024_LAL_DEN,2023-10-24,DEN,LAL,1,2581018,Kentavious Caldwell-Pope,G,1,36,8,12,2,3,2,2,1,1,1,3,1,3,5,10,20,0
2024_20231024_LAL_DEN,2023-10-24,DEN,LAL,1,3064290,Aaron Gordon,F,1,35,7,11,1,2,0,0,2,5,5,2,1,0,0,6,15,0
2024_20231024_LAL_DEN,2023-10-24,DEN,LAL,1,3936299,Jamal Murray,G,1,34,8,13,3,5,2,2,0,2,6,0,1,1,3,3,21,0
2024_20231024_LAL_DEN,2023-10-24,DEN,LAL,1,4278104,Michael Porter Jr.,F,1,30,5,13,2,9,0,0,2,10,2,2,0,0,1,12,12,0
2024_20231024_LAL_DEN,2023-10-24,DEN,LAL,1,6443,Reggie Jackson,PG,0,24,3,8,2,5,0,0,0,3,1,1,0,2,0,11,8,0
2024_20231024_LAL_DEN,2023-10-24,DEN,LAL,1,4431767,Christian Braun,G,0,19,2,5,0,1,1,2,1,2,2,0,1,1,1,5,5,0
2024_20231024_LAL_DEN,2023-10-24,DEN,LAL,1,4431690,Zeke Nnaji,F,0,12,1,3,0,1,2,2,0,0,1,0,0,1,2,-3,4,0
2024_20231024_LAL_DEN,2023-10-24,DEN,LAL,1,4576087,Peyton Watson,G,0,11,1,3,1,3,0,0,0,0,0,0,1,1,1,1,3,0
2024_20231024_LAL_DEN,2023-10-24,DEN,LAL,1,4066240,Braxton Key,F,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024_20231024_LAL_DEN,2023-10-24,DEN,LAL,1,4278585,Collin Gillespie,G,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
