player_name,season,mp,raptor_offense,raptor_defense
Saddiq Bey,2021,1909,-1.35,-1.94
Saddiq Bey,2022,2704,0.13,-2.42
Tyler Bey,2021,71,-9.09,-3.9
Khem Birch,2020,1011,-2.32,1.32
Khem Birch,2021,1529,-1.6,1.88
Khem Birch,2022,1054,-1.64,-0.32
Goga Bitadze,2020,471,-4.89,1.46
Goga Bitadze,2021,561,-0.41,-0.39
Goga Bitadze,2022,729,0.48,-2.64
Bismack Biyombo,2020,1029,-2.25,-0.8
Bismack Biyombo,2021,1349,-5.6,0.85
Bismack Biyombo,2022,592,-2.01,0.01
Nemanja Bjelica,2020,2011,2.03,-0.31
Nemanja Bjelica,2021,625,-0.52,-3.06
Nemanja Bjelica,2022,1292,-1.19,1.75
Eric Bledsoe,2020,1913,1.3,1.31
Eric Bledsoe,2021,2111,-0.43,-1.8
Eric Bledsoe,2022,1361,-2.22,2.03
Keljin Blevins,2021,79,-8.53,-3.35
Keljin Blevins,2022,349,-6.01,-6.4
Bogdan Bogdanovic,2020,1766,1.64,-0.42
Bogdan Bogdanovic,2021,1903,2.52,1.46
Bogdan Bogdanovic,2022,1955,2.85,-0.61
Bojan Bogdanovic,2020,2083,1.11,-1.84
Bojan Bogdanovic,2021,2606,0.15,-1.42
Bojan Bogdanovic,2022,2345,0.28,-2.44
Bol Bol,2020,108,1.81,-0.86
Bol Bol,2021,166,-7.06,-3.07
Bol Bol,2022,81,-5.0,-0.43
Jonah Bolden,2020,47,-5.49,-1.76
Marques Bolden,2020,3,-6.89,41.02
Marques Bolden,2021,29,-11.08,13.61
Leandro Bolmaro,2022,241,-5.37,1.74
Jordan Bone,2020,53,-4.88,-10.1
Jordan Bone,2021,196,-2.96,-4.98
Isaac Bonga,2020,1250,-1.18,2.0
Isaac Bonga,2021,442,-5.72,3.09
Isaac Bonga,2022,72,-4.49,2.99
Devin Booker,2020,2512,4.8,-2.93
Devin Booker,2021,3159,3.23,-0.49
Devin Booker,2022,2711,4.13,-0.02
Brandon Boston Jr.,2022,760,-2.54,-0.78
Chris Boucher,2020,862,1.75,1.94
Chris Boucher,2021,1453,1.99,0.03
Chris Boucher,2022,1820,0.06,0.91
James Bouknight,2022,304,-2.39,-4.97
Brian Bowen II,2020,31,-3.1,-0.26
Brian Bowen II,2021,15,-7.55,-3.61
Ky Bowman,2020,1015,-3.69,-0.8
Avery Bradley,2020,1186,-1.51,0.71
Avery Bradley,2021,602,-3.62,-2.01
Avery Bradley,2022,1406,-2.82,-0.98
Tony Bradley,2020,711,1.14,1.57
Tony Bradley,2021,684,0.66,0.76
Tony Bradley,2022,557,-2.44,3.63
Jarrell Brantley,2020,109,-8.57,2.07
Jarrell Brantley,2021,141,-0.06,-2.43
Ignas Brazdeikis,2020,53,-3.45,-9.49
Ignas Brazdeikis,2021,249,-0.67,-1.84
Ignas Brazdeikis,2022,536,-1.65,-2.98
Corey Brewer,2020,33,-1.26,1.75
Mikal Bridges,2020,2042,0.1,1.68
Mikal Bridges,2021,3055,1.48,1.37
Mikal Bridges,2022,3354,1.79,0.94
Miles Bridges,2020,1995,-1.45,-1.64
Miles Bridges,2021,1932,0.09,0.22
Miles Bridges,2022,2837,1.74,-0.05
Amida Brimah,2021,29,-4.87,2.58
Oshae Brissett,2020,135,-2.36,-0.93
Oshae Brissett,2021,519,1.55,-0.25
Oshae Brissett,2022,1564,-1.13,-2.79
Ryan Broekhoff,2020,180,1.97,0.17
Malcolm Brogdon,2020,1826,1.19,-0.31
Malcolm Brogdon,2021,1930,1.53,-1.3
Malcolm Brogdon,2022,1206,2.36,-0.66
Armoni Brooks,2021,520,-1.09,-2.85
Armoni Brooks,2022,852,-0.84,-1.97
Dillon Brooks,2020,2112,-0.64,-0.33
Dillon Brooks,2021,2172,0.26,0.58
Dillon Brooks,2022,1220,0.11,3.14
Bruce Brown,2020,1634,-1.83,1.95
Bruce Brown,2021,1728,0.58,0.37
Bruce Brown,2022,1913,0.34,0.32
Charles Brown Jr.,2020,40,0.14,6.21
Charlie Brown Jr.,2021,152,-3.32,-3.41
Charlie Brown Jr.,2022,177,-4.39,3.96
Chaundee Brown Jr.,2022,104,-4.91,-0.22
Greg Brown III,2022,640,-5.55,-3.04
Jaylen Brown,2020,2606,1.17,0.62
Jaylen Brown,2021,1999,1.87,-0.01
Jaylen Brown,2022,3140,1.72,1.01
Moses Brown,2020,33,-9.22,-13.09
Moses Brown,2021,920,-2.32,0.12
Moses Brown,2022,345,-4.21,-0.94
Sterling Brown,2020,771,-2.76,1.11
Sterling Brown,2021,1229,-1.41,-0.75
Sterling Brown,2022,654,-3.32,1.46
Troy Brown Jr.,2020,1782,-1.05,-0.35
Troy Brown Jr.,2021,524,-1.51,-2.28
