season,team,team_name,win_total,over_odds,under_odds,p_over_novig,exp_wins,games
2021,NYG,New York Giants,7.0,100,-120,0.4783,6.978,17
2021,NYJ,New York Jets,6.0,110,-130,0.4573,5.957,17
2021,PHI,Philadelphia Eagles,6.5,-150,130,0.5798,6.58,17
2021,PIT,Pittsburgh Steelers,8.5,110,-130,0.4573,8.457,17
2021,SF,San Francisco 49ers,10.5,100,-120,0.4783,10.478,17
2021,SEA,Seattle Seahawks,9.5,-150,130,0.5798,9.58,17
2021,TB,Tampa Bay Buccaneers,12.0,-120,100,0.5217,12.022,17
2021,TEN,Tennessee Titans,9.5,-130,110,0.5427,9.543,17
2021,WAS,Washington Football Team,8.5,-130,110,0.5427,8.543,17
2022,ARI,Arizona Cardinals,8.5,110,-130,0.4573,8.457,17
2022,ATL,Atlanta Falcons,4.5,-140,120,0.562,4.562,17
2022,BAL,Baltimore Ravens,10.5,110,-130,0.4573,10.457,17
2022,BUF,Buffalo Bills,12.0,-110,-110,0.5,12.0,17
2022,CAR,Carolina Panthers,6.5,-130,110,0.5427,6.543,17
2022,CHI,Chicago Bears,5.5,-130,100,0.5306,5.531,17
2022,CIN,Cincinnati Bengals,9.5,-130,110,0.5427,9.543,17
2022,CLE,Cleveland Browns,8.0,-120,100,0.5217,8.022,17
2022,DAL,Dallas Cowboys,10.0,120,-140,0.438,9.938,17
2022,DEN,Denver Broncos,10.0,110,-130,0.4573,9.957,17
2022,DET,Detroit Lions,6.5,-150,130,0.5798,6.58,17
2022,GB,Green Bay Packers,11.0,-130,110,0.5427,11.043,17
2022,HOU,Houston Texans,4.5,-120,100,0.5217,4.522,17
2022,IND,Indianapolis Colts,10.0,-120,100,0.5217,10.022,17
2022,JAX,Jacksonville Jaguars,6.5,-120,100,0.5217,6.522,17
2022,KC,Kansas City Chiefs,10.5,-150,130,0.5798,10.58,17
2022,LV,Las Vegas Raiders,8.5,-150,130,0.5798,8.58,17
2022,LAC,Los Angeles Chargers,10.5,100,-120,0.4783,10.478,17
2022,LA,Los Angeles Rams,10.5,100,-120,0.4783,10.478,17
2022,MIA,Miami Dolphins,9.0,-130,110,0.5427,9.043,17
2022,MIN,Minnesota Vikings,9.5,-110,-110,0.5,9.5,17
2022,NE,New England Patriots,8.5,100,-120,0.4783,8.478,17
2022,NO,New Orleans Saints,9.0,100,-120,0.4783,8.978,17
2022,NYG,New York Giants,7.0,120,-140,0.438,6.938,17
2022,NYJ,New York Jets,5.5,-120,100,0.5217,5.522,17
2022,PHI,Philadelphia Eagles,10.0,110,-130,0.4573,9.957,17
2022,PIT,Pittsburgh Steelers,7.5,-125,105,0.5325,7.532,17
2022,SF,San Francisco 49ers,10.0,-110,-110,0.5,10.0,17
2022,SEA,Seattle Seahawks,5.5,-125,105,0.5325,5.532,17
2022,TB,Tampa Bay Buccaneers,11.0,120,-140,0.438,10.938,17
2022,TEN,Tennessee Titans,9.0,120,-140,0.438,8.938,17
2022,WAS,Washington Commanders,7.5,-130,110,0.5427,7.543,17
2023,ARI,Arizona Cardinals,4.5,140,-160,0.4037,4.404,17
2023,ATL,Atlanta Falcons,8.5,-155,135,0.5882,8.588,17
2023,BAL,Baltimore Ravens,10.0,-130,110,0.5427,10.043,17
2023,BUF,Buffalo Bills,10.5,-140,120,0.562,10.562,17
2023,CAR,Carolina Panthers,7.5,115,-135,0.4474,7.447,17
2023,CHI,Chicago Bears,7.5,-140,120,0.562,7.562,17
2023,CIN,Cincinnati Bengals,11.0,100,-120,0.4783,10.978,17
2023,CLE,Cleveland Browns,9.0,-140,120,0.562,9.062,17
2023,DAL,Dallas Cowboys,10.0,-130,110,0.5427,10.043,17
2023,DEN,Denver Broncos,8.5,110,-130,0.4573,8.457,17
2023,DET,Detroit Lions,9.5,-120,100,0.5217,9.522,17
2023,GB,Green Bay Packers,7.5,-145,125,0.5711,7.571,17
2023,HOU,Houston Texans,6.5,130,-150,0.4202,6.42,17
2023,IND,Indianapolis Colts,6.5,-120,100,0.5217,6.522,17
2023,JAX,Jacksonville Jaguars,9.5,-140,120,0.562,9.562,17
2023,KC,Kansas City Chiefs,11.5,-120,100,0.5217,11.522,17
2023,LV,Las Vegas Raiders,6.5,110,-130,0.4573,6.457,17
2023,LAC,Los Angeles Chargers,9.5,-130,110,0.5427,9.543,17
2023,LA,Los Angeles Rams,6.5,110,-130,0.4573,6.457,17
2023,MIA,Miami Dolphins,9.5,100,-120,0.4783,9.478,17
2023,MIN,Minnesota Vikings,8.5,-130,110,0.5427,8.543,17
2023,NE,New England Patriots,7.5,130,-150,0.4202,7.42,17
2023,NO,New Orleans Saints,9.5,-110,-110,0.5,9.5,17
2023,NYG,New York Giants,7.5,-120,100,0.5217,7.522,17
2023,NYJ,New York Jets,9.5,-125,105,0.5325,9.532,17
2023,PHI,Philadelphia Eagles,11.5,105,-125,0.4675,11.468,17
2023,PIT,Pittsburgh Steelers,9.0,100,-120,0.4783,8.978,17
2023,SF,San Francisco 49ers,11.0,120,-140,0.438,10.938,17
2023,SEA,Seattle Seahawks,9.0,100,-120,0.4783,8.978,17
2023,TB,Tampa Bay Buccaneers,6.0,-150,130,0.5798,6.08,17
2023,TEN,Tennessee Titans,7.5,-120,100,0.5217,7.522,17
2023,WAS,Washington Commanders,6.5,105,-125,0.4675,6.468,17
2024,ARI,Arizona Cardinals,7.0,-130,110,0.5427,7.043,17
2024,ATL,Atlanta Falcons,9.5,-130,110,0.5427,9.543,17
2024,BAL,Baltimore Ravens,10.5,100,-120,0.4783,10.478,17
2024,BUF,Buffalo Bills,10.0,-110,-110,0.5,10.0,17
2024,CAR,Carolina Panthers,5.5,-130,110,0.5427,5.543,17
2024,CHI,Chicago Bears,8.5,-165,145,0.604,8.604,17
2024,CIN,Cincinnati Bengals,10.5,100,-120,0.4783,10.478,17
2024,CLE,Cleveland Browns,8.5,-145,125,0.5711,8.571,17
2024,DAL,Dallas Cowboys,10.0,115,-135,0.4474,9.947,17
2024,DEN,Denver Broncos,5.5,-170,150,0.6115,5.612,17
2024,DET,Detroit Lions,10.5,-130,110,0.5427,10.543,17
2024,GB,Green Bay Packers,10.0,100,-120,0.4783,9.978,17
2024,HOU,Houston Texans,9.5,-140,120,0.562,9.562,17
2024,IND,Indianapolis Colts,8.5,115,-135,0.4474,8.447,17
2024,JAX,Jacksonville Jaguars,8.5,-110,-110,0.5,8.5,17
2024,KC,Kansas City Chiefs,11.5,-110,-110,0.5,11.5,17
2024,LV,Las Vegas Raiders,6.5,-125,105,0.5325,6.532,17
2024,LAC,Los Angeles Chargers,9.0,115,-135,0.4474,8.947,17
2024,LA,Los Angeles Rams,8.5,-170,150,0.6115,8.612,17
2024,MIA,Miami Dolphins,10.0,100,-120,0.4783,9.978,17
2024,MIN,Minnesota Vikings,6.5,-140,120,0.562,6.562,17
2024,NE,New England Patriots,4.5,-110,-110,0.5,4.5,17
2024,NO,New Orleans Saints,7.5,-110,-110,0.5,7.5,17
2024,NYG,New York Giants,6.5,130,-150,0.4202,6.42,17
2024,NYJ,New York Jets,9.5,-140,120,0.562,9.562,17
2024,PHI,Philadelphia Eagles,10.5,-150,130,0.5798,10.58,17
2024,PIT,Pittsburgh Steelers,8.0,-140,120,0.562,8.062,17
2024,SF,San Francisco 49ers,11.5,140,-160,0.4037,11.404,17
2024,SEA,Seattle Seahawks,7.5,-160,140,0.5963,7.596,17
2024,TB,Tampa Bay Buccaneers,7.5,-140,120,0.562,7.562,17
2024,TEN,Tennessee Titans,6.5,120,-140,0.438,6.438,17
