season,game_id,team,passer_player_id,n,epa,name
2019,2019_02_NO_LA,NO,00-0031237,32,-1.4359951010482916,T.Bridgewater
2019,2019_02_PHI_ATL,ATL,00-0026143,44,1.7372072657552184,M.Ryan
2019,2019_02_PHI_ATL,PHI,00-0021206,5,1.1289297543116845,J.McCown
2019,2019_02_PHI_ATL,PHI,00-0032950,47,-4.372109904166204,C.Wentz
2019,2019_02_SEA_PIT,PIT,00-0022924,16,-4.9803878017362635,B.Roethlisberger
2019,2019_02_SEA_PIT,PIT,00-0034771,20,-1.755844188659966,M.Rudolph
2019,2019_02_SEA_PIT,SEA,00-0029263,39,13.496241067398502,R.Wilson
2019,2019_02_SF_CIN,CIN,00-0027973,46,5.914097207342017,A.Dalton
2019,2019_02_SF_CIN,SF,00-0031345,25,16.610586905027617,J.Garoppolo
2019,2019_02_SF_CIN,SF,00-0034860,1,1.241805540630594,D.Pettis
2019,2019_02_TB_CAR,CAR,00-0027939,54,-4.105722198695153,C.Newton
2019,2019_02_TB_CAR,TB,00-0031503,28,4.696494561837657,J.Winston
2019,2019_03_ATL_IND,ATL,00-0026143,34,21.29821440214066,M.Ryan
2019,2019_03_ATL_IND,IND,00-0033119,38,17.46533436703717,J.Brissett
2019,2019_03_BAL_KC,BAL,00-0034796,47,0.6125163814535126,L.Jackson
2019,2019_03_BAL_KC,KC,00-0033873,38,16.303340877884878,P.Mahomes
2019,2019_03_CAR_ARI,ARI,00-0035228,51,-15.179669894452307,K.Murray
2019,2019_03_CAR_ARI,CAR,00-0034577,28,13.654386465292191,K.Allen
2019,2019_03_CHI_WAS,CHI,00-0033869,34,8.873983878752787,M.Trubisky
2019,2019_03_CHI_WAS,WAS,00-0028986,48,-11.2945777260449,C.Keenum
2019,2019_03_CIN_BUF,BUF,00-0034857,37,0.7097643171487471,J.Allen
2019,2019_03_CIN_BUF,CIN,00-0027973,37,-1.9134878578948111,A.Dalton
2019,2019_03_DEN_GB,DEN,00-0026158,34,-6.257949111411651,J.Flacco
2019,2019_03_DEN_GB,GB,00-0023459,29,6.420951008701673,A.Rodgers
